Timepoint,protein_001,protein_002,protein_003,protein_004,protein_005,protein_006,protein_007,protein_008,protein_009,protein_010
3.59282,29.764784,30.553447,31.058816,28.117484,26.378521,23.949756,24.224854,20.964121,30.882735,32.301252
3.60002,28.252687,28.809008,29.32068,26.621656,25.006459,22.890113,23.133552,20.216713,29.342897,30.469249
3.60722,26.90109,27.25325,27.765481,25.292967,23.792781,21.948856,22.163991,19.556097,27.957898,28.826532
3.61442,25.694997,25.871664,26.377459,24.117335,22.72441,21.116235,21.305896,18.972537,26.715858,27.356595
3.62162,24.619558,24.64845,25.141814,23.079819,21.786298,20.382304,20.549521,18.457887,25.603089,26.044076
3.62882,23.661335,23.567362,24.043475,22.165669,20.963265,19.736667,19.884191,18.005116,24.606462,24.875568
3.63602,22.808075,22.612691,23.066915,21.360774,20.241752,19.169286,19.299427,17.607434,23.714108,23.837907
3.64322,22.047824,21.770701,22.198391,20.651562,19.609703,18.671163,18.786058,17.25803,22.91376,22.918108
3.65042,21.369004,21.029667,21.42655,20.026863,19.056713,18.234002,18.336002,16.95118,22.193673,22.103462
3.65762,20.761741,20.37842,20.740426,19.477468,18.574184,17.849588,17.941045,16.681284,21.544426,21.381819
3.66482,20.217794,19.805328,20.129799,18.994112,18.153893,17.510769,17.594296,16.443323,20.959164,20.740981
3.67202,19.730772,19.300501,19.586267,18.56772,17.787011,17.212317,17.289825,16.232657,20.431346,20.169741
3.67922,19.29553,18.855647,19.103401,18.190386,17.464491,16.948901,17.021495,16.045526,19.954272,19.659227
3.68642,18.907506,18.46251,18.674882,17.855614,17.178219,16.714503,16.7835,15.879016,19.521241,19.202745
3.69362,18.562299,18.113837,18.294071,17.557802,16.92223,16.504515,16.571403,15.730816,19.12754,18.794835
3.70082,18.254821,17.804717,17.95506,17.292613,16.693276,16.316581,16.382439,15.598979,18.769318,18.431093
3.70802,17.980103,17.531427,17.653695,17.056757,16.489526,16.148897,16.213935,15.482187,18.443171,18.107809
3.71522,17.734326,17.289634,17.385975,16.847705,16.30974,15.999563,16.063471,15.379442,18.146616,17.820057
3.72242,17.515114,17.075327,17.147108,16.662471,16.152231,15.866791,15.929001,15.288811,17.878292,17.562041
3.72962,17.319664,16.884646,16.93363,16.497355,16.013927,15.749475,15.80926,15.208464,17.636365,17.329455
3.73682,17.144759,16.714843,16.743328,16.349564,15.89106,15.646717,15.702537,15.137071,17.417356,17.119725
3.74402,16.987899,16.563211,16.574042,16.218167,15.780803,15.556947,15.607009,15.074154,17.218581,16.930727
3.75122,16.847066,16.426974,16.422823,16.102182,15.681795,15.478557,15.521563,15.019053,17.038365,16.760545
3.75842,16.720025,16.30378,16.287617,16.00008,15.593448,15.410933,15.44551,14.971306,16.875766,16.608076
3.76562,16.604803,16.192532,16.167348,15.910356,15.515484,15.353008,15.377644,14.930868,16.729009,16.472655
3.77282,16.500482,16.092114,16.061008,15.831238,15.44687,15.303154,15.316835,14.897671,16.596596,16.352525
3.78002,16.407078,16.001562,15.967107,15.760432,15.38671,15.26021,15.263637,14.870022,16.477264,16.244878
3.78722,16.324603,15.920859,15.884466,15.697123,15.334165,15.223007,15.218394,14.845633,16.370018,16.147513
3.79442,16.252617,15.849959,15.812647,15.641718,15.288347,15.190179,15.180523,14.823889,16.273609,16.060615
3.80162,16.190091,15.788641,15.750577,15.594593,15.248241,15.161793,15.149364,14.805267,16.187041,15.98463
3.80882,16.136858,15.736578,15.696968,15.555692,15.213444,15.138336,15.124411,14.789857,16.11031,15.91906
3.81602,16.093061,15.693473,15.651979,15.52501,15.1839,15.119872,15.104752,14.778734,16.044132,15.863198
3.82322,16.058604,15.658786,15.617463,15.502852,15.160434,15.106801,15.090004,14.774104,15.988748,15.817414
3.83042,16.03279,15.632397,15.594448,15.489885,15.144288,15.100162,15.080882,14.776884,15.944073,15.782068
3.83762,16.014987,15.614658,15.582543,15.486234,15.136257,15.100326,15.077728,14.786492,15.910204,15.756623
3.84482,16.004874,15.606006,15.581001,15.491838,15.137143,15.107098,15.080305,14.802111,15.886954,15.740128
3.85202,16.001853,15.606584,15.589204,15.507375,15.147307,15.120261,15.088669,14.823203,15.872724,15.73292
